一	YI_1;YAO_1;YI_4;YI_2;YI_0
丁	DING_1;DING_0;ZHENG_1
丂	KAO_3;YU_2
七	QI_1
丄	SHANG_4
丅	XIA_4
丆	SHI_2
万	WAN_4;MO_4
丈	ZHANG_4
三	SAN_1
上	SHANG_4;SHANG_3;SHANG_0
下	XIA_4;XIA_0
丌	JI_1;QI_2
不	BU_4;BU_2;BU_0
与	YU_3;YU_2;YU_4
丏	MIAN_3
丐	GAI_4
丑	CHOU_3
专	ZHUAN_1
且	QIE_3;JU_1
丕	PI_1
世	SHI_4
丗	SHI_4
丘	QIU_1
丙	BING_3
业	YE_4
丛	CONG_2
东	DONG_1
丝	SI_1
丞	CHENG_2
丠	QIU_1
両	LIANG_3
丢	DIU_1
丣	YOU_3
两	LIANG_3
严	YAN_2;YAN_3
丧	SANG_1;SANG_4
丨	GUN_3;SHU_4
丩	JIU_1
个	GE_4;GE_3;GE_0
丫	YA_1
丬	JIANG_4;PAN_2;ZHUANG_4
中	ZHONG_1;ZHONG_4
丮	JI_3
丯	JIE_4
丰	FENG_1
丱	GUAN_4;KUANG_4
串	CHUAN_4
丳	CHAN_3
临	LIN_2
丵	ZHUO_2
丶	DIAN_3;ZHU_3
丷	BA_1
丸	WAN_2
丹	DAN_1
为	WEI_4;WEI_2;WEI_0
主	ZHU_3
丼	JING_3
丽	LI_4;LI_2
举	JU_3;JU_0
丿	PIE_3
乀	FU_2
乁	YI_2
乂	AI_4;YI_4
乃	NAI_3
久	JIU_3
乆	JIU_3
乇	TUO_1
么	MA_0;ME_0;MO_3;YAO_1
义	YI_4;YI_2
乊	HU_1
之	ZHI_1
乌	WU_1;WU_4
乍	ZHA_4
乎	HU_1;HU_0
乏	FA_2
乐	LE_4;YUE_4
乑	YIN_2
乒	PING_1
乓	PANG_1
乔	QIAO_2
乕	HU_3
乖	GUAI_1
乗	SHENG_4
乘	CHENG_2;SHENG_4
乙	YI_3
乚	YIN_3
乛	ZHE_2
乜	MIE_1;NIE_4
九	JIU_2;JIU_3
乞	QI_3;QI_0
也	YE_3
习	XI_2
乡	XIANG_1;XIANG_4
乢	GAI_4
乣	JIU_3
书	SHU_1
乨	SHI_3
乩	JI_1
乪	NANG_2
买	MAI_3
乱	LUAN_4
乳	RU_3
乴	XUE_2
乵	YAN_3
乸	NA_3
乹	QIAN_2
乾	GAN_1;QIAN_2
乿	LUAN_4
亀	GUI_1
亁	GAN_1
亃	LIN_4
亄	YI_4
亅	JUE_2
了	LE_0;LIAO_3
亇	DING_1
予	YU_2;YU_3
争	ZHENG_1;ZHENG_4
亊	SHI_4
事	SHI_4;SHI_0
二	ER_4
亍	CHU_4
于	YU_2
亏	KUI_1
亐	YU_2
云	YUN_2
互	HU_4
亓	QI_2
五	WU_2;WU_3
井	JING_3
亖	SI_4
亗	SUI_4
亘	GEN_4
亚	YA_4
些	XIE_1
亜	YA_4
亝	ZHAI_1
亟	JI_2;QI_4
亠	TOU_2;WEN_2
亡	WANG_2;WU_2
亢	KANG_4
亣	DA_4
交	JIAO_1
亥	HAI_4
亦	YI_4
产	CHAN_3
亨	HENG_1
亩	MU_3
享	XIANG_3
京	JING_1
亭	TING_2
亮	LIANG_4;LIANG_0
亯	XIANG_3
亰	JING_1
亱	YE_4
亲	QING_4;QIN_1
亳	BO_2
亴	YOU_4
亵	XIE_4
亶	DAN_4;DAN_3
亷	LIAN_2
亸	DUO_3
亹	MEN_2;WEI_3
人	REN_2;REN_0
亻	DAN_1;REN_2
亼	JI_2
亽	JI_2
亾	WU_2
亿	YI_4
什	SHEN_2;SHI_2;SHI_0
仁	REN_2
仂	LE_4
仃	DING_1
仄	ZE_4
仅	JIN_4;JIN_3
仆	PU_1;PU_2
仇	CHOU_2;QIU_2
仈	BA_1
仉	ZHANG_3
今	JIN_1
介	JIE_4
仌	BING_1
仍	RENG_2
从	CONG_1;CONG_2
仏	FO_2
仐	TAO_1
仑	LUN_2
