A_0	a_m a_m
A_1	a_h a_h
A_2	a_l a_h
A_3	a_l a_l
A_4	a_h a_l
AI_0	a_m eh_m
AI_1	a_h eh_h
AI_2	a_l eh_h
AI_3	a_l eh_l
AI_4	a_h eh_l
AN_0	a_m nn_m
AN_1	a_h nn_h
AN_2	a_l nn_h
AN_3	a_l nn_l
AN_4	a_h nn_l
ANG_0	aa_m ng_m
ANG_1	aa_h ng_h
ANG_2	aa_l ng_h
ANG_3	aa_l ng_l
ANG_4	aa_h ng_l
AO_0	aa_m o_m
AO_1	aa_h o_h
AO_2	aa_l o_h
AO_3	aa_l o_l
AO_4	aa_h o_l
BA_0	b a_m a_m
BA_1	b a_h a_h
BA_2	b a_l a_h
BA_3	b a_l a_l
BA_4	b a_h a_l
BAI_0	b a_m eh_m
BAI_1	b a_h eh_h
BAI_2	b a_l eh_h
BAI_3	b a_l eh_l
BAI_4	b a_h eh_l
BAN_0	b a_m nn_m
BAN_1	b a_h nn_h
BAN_2	b a_l nn_h
BAN_3	b a_l nn_l
BAN_4	b a_h nn_l
BANG_0	b aa_m ng_m
BANG_1	b aa_h ng_h
BANG_2	b aa_l ng_h
BANG_3	b aa_l ng_l
BANG_4	b aa_h ng_l
BAO_0	b aa_m o_m
BAO_1	b aa_h o_h
BAO_2	b aa_l o_h
BAO_3	b aa_l o_l
BAO_4	b aa_h o_l
BEI_0	b eh_m i_m
BEI_1	b eh_h i_h
BEI_2	b eh_l i_h
BEI_3	b eh_l i_l
BEI_4	b eh_h i_l
BEN_0	b el_m nn_m
BEN_1	b el_h nn_h
BEN_2	b el_l nn_h
BEN_3	b el_l nn_l
BEN_4	b el_h nn_l
BENG_0	b el_m ng_m
BENG_1	b el_h ng_h
BENG_2	b el_l ng_h
BENG_3	b el_l ng_l
BENG_4	b el_h ng_l
BI_0	bi i_m i_m
BI_1	bi i_h i_h
BI_2	bi i_l i_h
BI_3	bi i_l i_l
BI_4	bi i_h i_l
BIAN_0	bi a_m nn_m
BIAN_1	bi a_h nn_h
BIAN_2	bi a_l nn_h
BIAN_3	bi a_l nn_l
BIAN_4	bi a_h nn_l
BIAO_0	bi aa_m o_m
BIAO_1	bi aa_h o_h
BIAO_2	bi aa_l o_h
BIAO_3	bi aa_l o_l
BIAO_4	bi aa_h o_l
BIE_0	bi eh_m eh_m
BIE_1	bi eh_h eh_h
BIE_2	bi eh_l eh_h
BIE_3	bi eh_l eh_l
BIE_4	bi eh_h eh_l
BIN_0	bi i_m nn_m
BIN_1	bi i_h nn_h
BIN_2	bi i_l nn_h
BIN_3	bi i_l nn_l
BIN_4	bi i_h nn_l
BING_0	bi el_m ng_m
BING_1	bi el_h ng_h
BING_2	bi el_l ng_h
BING_3	bi el_l ng_l
BING_4	bi el_h ng_l
BO_0	bu o_m o_m
BO_1	bu o_h o_h
BO_2	bu o_l o_h
BO_3	bu o_l o_l
BO_4	bu o_h o_l
BU_0	bu u_m u_m
BU_1	bu u_h u_h
BU_2	bu u_l u_h
BU_3	bu u_l u_l
BU_4	bu u_h u_l
CA_0	c a_m a_m
CA_1	c a_h a_h
CA_2	c a_l a_h
CA_3	c a_l a_l
CA_4	c a_h a_l
CAI_0	c a_m eh_m
CAI_1	c a_h eh_h
CAI_2	c a_l eh_h
CAI_3	c a_l eh_l
CAI_4	c a_h eh_l
CAN_0	c a_m nn_m
CAN_1	c a_h nn_h
CAN_2	c a_l nn_h
CAN_3	c a_l nn_l
CAN_4	c a_h nn_l
CANG_0	c aa_m ng_m
CANG_1	c aa_h ng_h
CANG_2	c aa_l ng_h
CANG_3	c aa_l ng_l
CANG_4	c aa_h ng_l
CAO_0	c aa_m o_m
CAO_1	c aa_h o_h
CAO_2	c aa_l o_h
CAO_3	c aa_l o_l
CAO_4	c aa_h o_l
CE_0	c el_m el_m
CE_1	c el_h el_h
CE_2	c el_l el_h
CE_3	c el_l el_l
CE_4	c el_h el_l
CEN_0	c el_m nn_m
CEN_1	c el_h nn_h
CEN_2	c el_l nn_h
CEN_3	c el_l nn_l
CEN_4	c el_h nn_l
CENG_0	c el_m ng_m
CENG_1	c el_h ng_h
CENG_2	c el_l ng_h
CENG_3	c el_l ng_l
CENG_4	c el_h ng_l
CHA_0	ch a_m a_m
CHA_1	ch a_h a_h
CHA_2	ch a_l a_h
CHA_3	ch a_l a_l
CHA_4	ch a_h a_l
CHAI_0	ch a_m eh_m
