A	a a
AI	a eh
AN	a nn
ANG	aa ng
AO	aa o
BA	b a a
BAI	b a eh
BAN	b a nn
BANG	b aa ng
BAO	b aa o
BEI	b eh i
BEN	b el nn
BENG	b el ng
BI	bi i i
BIAN	bi a nn
BIAO	bi aa o
BIE	bi eh eh
BIN	bi i nn
BING	bi el ng
BO	bu o o
BU	bu u u
CA	c a a
CAI	c a eh
CAN	c a nn
CANG	c aa ng
CAO	c aa o
CE	c el el
CEN	c el nn
CENG	c el ng
CHA	ch a a
CHAI	ch a eh
CHAN	ch a nn
CHANG	ch aa ng
CHAO	ch aa o
CHE	ch el el
CHEN	ch el nn
CHENG	ch el ng
CHI	ch ib ib
CHONG	chu u ng
CHOU	ch o u
CHU	chu u u
CHUAI	chu a eh
CHUAN	chu a nn
CHUANG	chu aa ng
CHUI	chu eh i
CHUN	chu el nn
CHUO	chu o o
CI	c if if
CONG	cu u ng
COU	c o u
CU	cu u u
CUAN	cu a nn
CUI	cu eh i
CUN	cu el nn
CUO	cu o o
DA	d a a
DAI	d a eh
DAN	d a nn
DANG	d aa ng
DAO	d aa o
DE	d el el
DEI	d eh i
DENG	d el ng
DI	di i i
DIA	di a a
DIAN	di a nn
DIAO	di aa o
DIE	di eh eh
DING	di el ng
DIU	di o u
DONG	du u ng
DOU	d o u
DU	du u u
DUAN	du a nn
DUI	du eh i
DUN	du el nn
DUO	du o o
E	el el
EI	eh i
EN	el nn
ER	er er
FA	f a a
FAN	f a nn
FANG	f aa ng
FEI	f eh i
FEN	f el nn
FENG	f el ng
FO	fu o o
FOU	f o u
FU	fu u u
GA	g a a
GAI	g a eh
GAN	g a nn
GANG	g aa ng
GAO	g aa o
GE	g el el
GEI	g eh i
GEN	g el nn
GENG	g el ng
GONG	gu u ng
GOU	g o u
GU	gu u u
GUA	gu a a
GUAI	gu a eh
GUAN	gu a nn
GUANG	gu aa ng
GUI	gu eh i
GUN	gu el nn
GUO	gu o o
HA	h a a
HAI	h a eh
HAN	h a nn
HANG	h aa ng
HAO	h aa o
HE	h el el
HEI	h eh i
HEN	h el nn
HENG	h el ng
HONG	hu u ng
HOU	h o u
HU	hu u u
HUA	hu a a
HUAI	hu a eh
HUAN	hu a nn
HUANG	hu aa ng
HUI	hu eh i
HUN	hu el nn
HUO	hu o o
JI	ji i i
JIA	ji a a
JIAN	ji a nn
JIANG	ji aa ng
JIAO	ji aa o
JIE	ji eh eh
JIN	ji i nn
JING	ji el ng
JIONG	jv u ng
JIU	ji o u
JU	jv v v
JUAN	jv a nn
JUE	jv eh eh
JUN	jv el nn
KA	k a a
KAI	k a eh
KAN	k a nn
KANG	k aa ng
KAO	k aa o
KE	k el el
KEI	k eh i
KEN	k el nn
KENG	k el ng
KIU	ku o u
KONG	ku u ng
KOU	k o u
KU	ku u u
KUA	ku a a
KUAI	ku a eh
KUAN	ku a nn
KUANG	ku aa ng
KUI	ku eh i
KUN	ku el nn
KUO	ku o o
LA	l a a
LAI	l a eh
LAN	l a nn
LANG	l aa ng
LAO	l aa o
LE	l el el
LEI	l eh i
LENG	l el ng
LI	li i i
LIA	li a a
LIAN	li a nn
LIANG	li aa ng
LIAO	li aa o
LIE	li eh eh
LIN	li i nn
LING	li el ng
LIU	li o u
LONG	lu u ng
LOU	l o u
LU	lu u u
LUAN	lu a nn
LUN	lu el nn
LUO	lu o o
LV	lv v v
LVE	lv eh eh
MA	m a a
MAI	m a eh
MAN	m a nn
MANG	m aa ng
MAO	m aa o
ME	m el el
MEI	m eh i
MEN	m el nn
MENG	m el ng
